investor_id,age_group,gender,city_tier,annual_income_lakh,total_invested,num_transactions,avg_sip_amount
INV000001,36-45,Male,T30,19.9,237429,3,79143.0
INV000002,46-55,Male,T30,24.0,681325,6,113554.16666666667
INV000003,26-35,Female,T30,10.6,17861,2,8930.5
INV000004,26-35,Male,T30,20.0,476881,9,52986.77777777778
INV000005,26-35,Female,B30,10.4,1398173,8,174771.625
INV000006,46-55,Female,B30,43.0,374177,6,62362.833333333336
INV000007,26-35,Male,B30,21.9,82420,5,16484.0
INV000008,26-35,Female,B30,18.6,948979,8,118622.375
INV000009,26-35,Male,T30,17.1,581851,7,83121.57142857143
INV000010,36-45,Male,T30,13.6,1321472,11,120133.81818181818
INV000011,26-35,Male,T30,9.6,1099634,11,99966.72727272728
INV000012,46-55,Male,B30,51.6,954446,11,86767.81818181818
INV000013,18-25,Male,B30,5.2,865449,10,86544.9
INV000014,18-25,Male,T30,4.3,1060830,11,96439.09090909091
INV000015,36-45,Male,T30,27.8,265612,2,132806.0
INV000016,26-35,Female,T30,21.0,655227,3,218409.0
INV000017,46-55,Female,T30,31.5,805968,4,201492.0
INV000018,56+,Male,T30,37.9,420620,4,105155.0
INV000019,18-25,Female,T30,5.1,218987,4,54746.75
INV000020,36-45,Female,T30,17.0,1113745,6,185624.16666666666
INV000021,46-55,Male,B30,76.8,807228,6,134538.0
INV000022,36-45,Male,T30,37.4,1054287,6,175714.5
INV000023,46-55,Female,T30,61.9,461628,10,46162.8
INV000024,36-45,Female,T30,27.0,1254570,8,156821.25
INV000025,26-35,Male,T30,11.5,13678,1,13678.0
INV000026,36-45,Male,T30,29.5,826838,7,118119.71428571429
INV000027,26-35,Male,T30,20.7,1465451,7,209350.14285714287
INV000028,18-25,Female,T30,6.1,1065631,9,118403.44444444444
INV000029,26-35,Female,B30,7.6,894277,11,81297.90909090909
INV000030,18-25,Female,T30,5.1,1315849,12,109654.08333333333
INV000031,36-45,Male,T30,27.3,542411,6,90401.83333333333
INV000032,36-45,Male,T30,21.8,1231203,8,153900.375
INV000033,36-45,Female,T30,12.4,1131799,11,102890.81818181818
INV000034,26-35,Male,T30,24.5,296610,3,98870.0
INV000035,26-35,Male,T30,20.9,1710,2,855.0
INV000036,36-45,Male,T30,49.7,11059,2,5529.5
INV000037,26-35,Male,B30,7.5,1139629,5,227925.8
INV000038,56+,Female,T30,22.4,793676,7,113382.28571428571
INV000039,26-35,Male,B30,6.5,482497,8,60312.125
INV000040,26-35,Male,B30,14.7,1480910,10,148091.0
INV000041,46-55,Male,B30,25.0,1521738,6,253623.0
INV000042,26-35,Female,B30,15.3,577025,5,115405.0
INV000043,26-35,Male,T30,23.7,494094,3,164698.0
INV000044,36-45,Male,B30,34.9,703471,6,117245.16666666667
INV000045,36-45,Male,T30,26.2,1295094,10,129509.4
INV000046,26-35,Female,T30,24.5,834098,7,119156.85714285714
INV000047,36-45,Male,B30,23.6,917232,5,183446.4
INV000048,36-45,Female,T30,15.0,208461,11,18951.0
INV000049,36-45,Male,B30,23.8,37744,3,12581.333333333334
INV000050,36-45,Male,T30,13.4,279000,3,93000.0
INV000051,36-45,Male,T30,21.0,1256292,6,209382.0
INV000052,26-35,Male,B30,19.1,1164105,10,116410.5
INV000053,36-45,Male,T30,52.3,9834,2,4917.0
INV000054,46-55,Female,T30,37.5,488684,7,69812.0
INV000055,26-35,Male,T30,13.5,1966742,12,163895.16666666666
INV000056,26-35,Female,B30,22.5,290649,8,36331.125
INV000057,36-45,Male,T30,59.9,826946,11,75176.90909090909
INV000058,26-35,Male,T30,19.9,537154,7,76736.28571428571
INV000059,18-25,Male,B30,5.2,1764,1,1764.0
INV000060,36-45,Male,T30,45.6,24574,2,12287.0
INV000061,26-35,Female,T30,23.3,607545,5,121509.0
INV000062,46-55,Male,B30,22.9,1245620,8,155702.5
INV000063,46-55,Male,B30,88.9,9210,3,3070.0
INV000064,18-25,Female,B30,3.5,473247,1,473247.0
INV000065,46-55,Female,T30,43.2,431252,6,71875.33333333333
INV000066,56+,Male,B30,64.2,1210286,7,172898.0
INV000067,36-45,Male,T30,19.7,538,1,538.0
INV000068,18-25,Female,T30,7.3,417438,1,417438.0
INV000069,56+,Female,T30,35.9,691513,12,57626.083333333336
INV000070,56+,Female,T30,20.1,218564,4,54641.0
INV000071,26-35,Female,B30,18.2,883938,7,126276.85714285714
INV000072,18-25,Female,T30,6.4,1360992,10,136099.2
