scheme_code,nav_date,nav_value
125497,2022-01-03,75.7486
119418,2022-01-03,16.9956
148540,2022-01-03,15.1155
135773,2022-01-03,37.6069
142517,2022-01-03,580.0595
118834,2022-01-03,49.3645
122639,2022-01-03,54.1208
133322,2022-01-03,18.163
147839,2022-01-03,33.4829
151234,2022-01-03,48.2547
128472,2022-01-03,25.615
138291,2022-01-03,18.4333
145672,2022-01-03,24.3061
116543,2022-01-03,38.7895
139847,2022-01-03,69.8377
120987,2022-01-03,42.9273
143256,2022-01-03,13.3026
137654,2022-01-03,63.7902
149012,2022-01-03,663.2514
124567,2022-01-03,55.5009
132198,2022-01-03,89.6518
146783,2022-01-03,28.8521
115678,2022-01-03,64.2715
150345,2022-01-03,44.9387
127890,2022-01-03,40.0525
134567,2022-01-03,23.6355
121098,2022-01-03,12.6884
144321,2022-01-03,46.0958
136789,2022-01-03,27.3783
152167,2022-01-03,14.3597
118765,2022-01-03,76.8377
140987,2022-01-03,1375.8019
123456,2022-01-03,52.6755
138543,2022-01-03,76.3276
147210,2022-01-03,22.0601
129876,2022-01-03,41.6399
153456,2022-01-03,53.241
131234,2022-01-03,20.3212
154321,2022-01-03,20.3068
125497,2022-01-04,76.9522
119418,2022-01-04,17.1749
148540,2022-01-04,15.2101
135773,2022-01-04,37.4774
142517,2022-01-04,580.2443
118834,2022-01-04,49.4868
122639,2022-01-04,53.7687
133322,2022-01-04,18.2264
147839,2022-01-04,33.853
151234,2022-01-04,48.6061
128472,2022-01-04,25.5325
138291,2022-01-04,17.9268
145672,2022-01-04,24.0514
116543,2022-01-04,39.0118
139847,2022-01-04,70.2151
120987,2022-01-04,43.6588
143256,2022-01-04,13.3153
137654,2022-01-04,65.8585
149012,2022-01-04,663.1809
124567,2022-01-04,55.5008
132198,2022-01-04,90.4913
146783,2022-01-04,28.739
141234,2022-01-04,30.4841
115678,2022-01-04,64.3542
150345,2022-01-04,43.0782
127890,2022-01-04,41.6044
134567,2022-01-04,23.295
121098,2022-01-04,12.7319
144321,2022-01-04,45.2964
136789,2022-01-04,27.1608
152167,2022-01-04,14.7802
118765,2022-01-04,76.615
140987,2022-01-04,1377.7834
123456,2022-01-04,52.7947
138543,2022-01-04,76.7851
147210,2022-01-04,22.5402
129876,2022-01-04,41.0452
153456,2022-01-04,52.7791
131234,2022-01-04,20.5712
154321,2022-01-04,20.1365
125497,2022-01-05,75.9299
119418,2022-01-05,17.3654
148540,2022-01-05,15.3744
135773,2022-01-05,38.3022
142517,2022-01-05,580.1289
118834,2022-01-05,49.3592
122639,2022-01-05,54.004
133322,2022-01-05,18.3244
147839,2022-01-05,34.1253
151234,2022-01-05,48.7998
128472,2022-01-05,26.3197
138291,2022-01-05,17.4627
145672,2022-01-05,24.3508
116543,2022-01-05,38.5052
139847,2022-01-05,70.1973
120987,2022-01-05,43.6216
143256,2022-01-05,12.9687
137654,2022-01-05,64.0393
149012,2022-01-05,663.9721
124567,2022-01-05,55.6986
132198,2022-01-05,90.4781
146783,2022-01-05,28.5634
141234,2022-01-05,29.7101
115678,2022-01-05,64.5035
127890,2022-01-05,41.9274
134567,2022-01-05,23.1339
121098,2022-01-05,12.663
144321,2022-01-05,45.2555
136789,2022-01-05,27.2091
152167,2022-01-05,15.1298
118765,2022-01-05,75.9039
140987,2022-01-05,1378.4887
123456,2022-01-05,52.9043
138543,2022-01-05,76.99
