amc_name,quarter_date,aum_crores
SBI Mutual Fund,2022-03-01,34108.18
SBI Mutual Fund,2022-06-01,35618.67
SBI Mutual Fund,2022-09-01,36077.61
SBI Mutual Fund,2022-12-01,35378.03
SBI Mutual Fund,2023-03-01,36645.23
SBI Mutual Fund,2023-06-01,37678.3
SBI Mutual Fund,2023-09-01,38357.94
SBI Mutual Fund,2023-12-01,38485.18
SBI Mutual Fund,2024-03-01,38200.85
SBI Mutual Fund,2024-06-01,39415.16
SBI Mutual Fund,2024-09-01,39607.39
SBI Mutual Fund,2024-12-01,39806.53
SBI Mutual Fund,2025-03-01,39809.55
SBI Mutual Fund,2025-06-01,41790.99
SBI Mutual Fund,2025-09-01,42137.59
SBI Mutual Fund,2025-12-01,42385.01
SBI Mutual Fund,2026-03-01,42667.67
HDFC Mutual Fund,2022-03-01,68763.1
HDFC Mutual Fund,2022-06-01,69949.7
HDFC Mutual Fund,2022-09-01,69511.6
HDFC Mutual Fund,2022-12-01,71223.64
HDFC Mutual Fund,2023-03-01,71251.61
HDFC Mutual Fund,2023-06-01,71655.15
HDFC Mutual Fund,2023-09-01,72405.75
HDFC Mutual Fund,2023-12-01,75769.77
HDFC Mutual Fund,2024-03-01,74537.53
HDFC Mutual Fund,2024-06-01,78144.71
HDFC Mutual Fund,2024-09-01,77601.1
HDFC Mutual Fund,2024-12-01,76509.36
HDFC Mutual Fund,2025-03-01,76568.63
HDFC Mutual Fund,2025-06-01,76533.42
HDFC Mutual Fund,2025-09-01,76593.79
HDFC Mutual Fund,2025-12-01,79994.24
HDFC Mutual Fund,2026-03-01,79655.13
ICICI Prudential,2022-03-01,94909.04
ICICI Prudential,2022-06-01,97021.04
ICICI Prudential,2022-09-01,99450.26
ICICI Prudential,2022-12-01,100828.87
ICICI Prudential,2023-03-01,103456.7
ICICI Prudential,2023-06-01,105896.45
ICICI Prudential,2023-09-01,109855.32
ICICI Prudential,2023-12-01,108984.08
ICICI Prudential,2024-03-01,110912.59
ICICI Prudential,2024-06-01,111555.96
ICICI Prudential,2024-09-01,112493.24
