month_year,sip_inflow_cr,active_accounts
2022-01-01,12200.26,11721124
2022-02-01,12270.73,9970683
2022-03-01,12382.89,11537670
2022-04-01,12475.15,11061676
2022-05-01,12664.63,10678354
2022-06-01,12868.97,9723084
2022-07-01,13135.06,11263775
2022-08-01,13446.24,10473833
2022-09-01,13598.06,10476509
2022-10-01,13765.35,10719073
2022-11-01,13993.8,11210855
2022-12-01,14295.14,11787896
2023-01-01,14420.98,10556894
2023-02-01,14639.35,11642585
2023-03-01,14894.82,11123449
2023-04-01,15068.99,10576850
2023-05-01,15392.73,10792377
2023-06-01,15592.37,10717744
2023-07-01,15692.89,10205162
2023-08-01,15958.72,11012944
2023-09-01,16127.93,10476567
2023-10-01,16392.17,9911602
2023-11-01,16555.82,10644826
2023-12-01,16916.95,11867578
2024-01-01,17319.41,9560721
2024-02-01,17578.34,11628939
2024-03-01,17751.89,11881230
2024-04-01,17920.59,10026842
2024-05-01,18202.73,11289626
2024-06-01,18391.23,10955813
2024-07-01,18647.72,11484397
2024-08-01,18962.92,11541047
2024-09-01,19137.0,11325274
2024-10-01,19583.53,10753828
2024-11-01,19831.73,10031816
2024-12-01,19966.63,9852166
2025-01-01,20068.65,10134977
2025-02-01,20465.96,11472857
2025-03-01,20633.4,10554276
2025-04-01,20861.16,9978763
2025-05-01,20992.25,9799262
2025-06-01,21449.56,11790895
2025-07-01,21807.76,10967245
2025-08-01,22117.9,9991341
2025-09-01,22523.61,10475637
2025-10-01,22889.8,11832898
2025-11-01,23300.97,11712593
2025-12-01,31002.0,10861664
2026-01-01,24302.79,10870855
2026-02-01,24829.13,9541956
2026-03-01,25297.86,10483814
2026-04-01,25592.5,11028184
2026-05-01,26114.61,9948243
