category,month_year,net_inflow_cr
Large Cap,2022-01-01,94.8
Large Cap,2022-02-01,2801.1
Large Cap,2022-03-01,1621.29
Large Cap,2022-04-01,-61.23
Large Cap,2022-05-01,3311.21
Large Cap,2022-06-01,402.04
Large Cap,2022-07-01,-145.91
Large Cap,2022-08-01,1088.85
Large Cap,2022-09-01,2313.45
Large Cap,2022-10-01,3286.2
Large Cap,2022-11-01,1360.6
Large Cap,2022-12-01,4821.85
Large Cap,2023-01-01,4979.21
Large Cap,2023-02-01,3232.24
Large Cap,2023-03-01,674.18
Large Cap,2023-04-01,628.66
Large Cap,2023-05-01,4375.93
Large Cap,2023-06-01,872.6
Large Cap,2023-07-01,-31.85
Large Cap,2023-08-01,3343.91
Large Cap,2023-09-01,869.93
Large Cap,2023-10-01,819.39
Large Cap,2023-11-01,2475.73
Large Cap,2023-12-01,3816.36
Large Cap,2024-01-01,3169.42
Large Cap,2024-02-01,1145.69
Large Cap,2024-03-01,1618.38
Large Cap,2024-04-01,4370.32
Large Cap,2024-05-01,4758.71
Large Cap,2024-06-01,557.8
Large Cap,2024-07-01,4478.63
Large Cap,2024-08-01,3795.25
Large Cap,2024-09-01,238.91
Large Cap,2024-10-01,4168.35
Large Cap,2024-11-01,4795.31
Large Cap,2024-12-01,4845.01
Large Cap,2025-01-01,-172.62
Large Cap,2025-02-01,4464.09
Large Cap,2025-03-01,128.87
Large Cap,2025-04-01,4883.48
Large Cap,2025-05-01,3296.36
Large Cap,2025-06-01,1903.23
Large Cap,2025-07-01,1445.55
Large Cap,2025-08-01,4846.83
Large Cap,2025-09-01,-393.8
Large Cap,2025-10-01,157.28
Large Cap,2025-11-01,3833.99
Large Cap,2025-12-01,1792.54
Large Cap,2026-01-01,812.91
Large Cap,2026-02-01,290.65
Large Cap,2026-03-01,1176.58
Large Cap,2026-04-01,4785.07
Large Cap,2026-05-01,1707.71
Mid Cap,2022-01-01,910.38
Mid Cap,2022-02-01,2834.77
Mid Cap,2022-03-01,4822.17
Mid Cap,2022-04-01,3400.15
Mid Cap,2022-05-01,1663.91
Mid Cap,2022-06-01,-315.81
Mid Cap,2022-07-01,1652.39
Mid Cap,2022-08-01,413.1
Mid Cap,2022-09-01,2100.2
Mid Cap,2022-10-01,-186.7
Mid Cap,2022-11-01,854.64
Mid Cap,2022-12-01,2389.29
Mid Cap,2023-01-01,4851.54
Mid Cap,2023-02-01,4768.26
Mid Cap,2023-03-01,-11.21
Mid Cap,2023-04-01,-135.54
Mid Cap,2023-05-01,4573.28
Mid Cap,2023-06-01,1500.7
Mid Cap,2023-07-01,1813.54
Mid Cap,2023-08-01,1097.57
Mid Cap,2023-09-01,4109.89
Mid Cap,2023-10-01,1496.74
Mid Cap,2023-11-01,3187.28
Mid Cap,2023-12-01,322.63
Mid Cap,2024-01-01,-480.73
Mid Cap,2024-02-01,4954.73
Mid Cap,2024-03-01,4122.83
Mid Cap,2024-04-01,-402.08
Mid Cap,2024-05-01,3154.8
Mid Cap,2024-06-01,-255.8
Mid Cap,2024-07-01,1456.59
Mid Cap,2024-08-01,2935.27
Mid Cap,2024-09-01,1022.74
Mid Cap,2024-10-01,2259.14
Mid Cap,2024-11-01,502.66
Mid Cap,2024-12-01,10.2
Mid Cap,2025-01-01,2463.8
Mid Cap,2025-02-01,2842.68
Mid Cap,2025-03-01,566.06
Mid Cap,2025-04-01,230.18
Mid Cap,2025-05-01,1151.74
Mid Cap,2025-06-01,398.22
Mid Cap,2025-07-01,919.99
Mid Cap,2025-08-01,1923.67
Mid Cap,2025-09-01,2452.1
Mid Cap,2025-10-01,1804.36
Mid Cap,2025-11-01,-146.77
Mid Cap,2025-12-01,3724.66
Mid Cap,2026-01-01,-82.68
Mid Cap,2026-02-01,-325.56
Mid Cap,2026-03-01,2911.3
Mid Cap,2026-04-01,3222.74
Mid Cap,2026-05-01,1393.19
Small Cap,2022-01-01,-448.81
Small Cap,2022-02-01,3059.27
Small Cap,2022-03-01,4096.31
Small Cap,2022-04-01,924.29
Small Cap,2022-05-01,2928.54
Small Cap,2022-06-01,-10.92
Small Cap,2022-07-01,4465.52
Small Cap,2022-08-01,2882.7
Small Cap,2022-09-01,1469.14
Small Cap,2022-10-01,3885.18
Small Cap,2022-11-01,-147.51
Small Cap,2022-12-01,2629.69
Small Cap,2023-01-01,4230.18
Small Cap,2023-02-01,4387.36
Small Cap,2023-03-01,2086.79
Small Cap,2023-04-01,90.53
Small Cap,2023-05-01,3324.93
Small Cap,2023-06-01,3743.16
Small Cap,2023-07-01,2152.69
Small Cap,2023-08-01,2355.96
Small Cap,2023-09-01,3675.53
Small Cap,2023-10-01,966.61
Small Cap,2023-11-01,4636.44
Small Cap,2023-12-01,3759.32
Small Cap,2024-01-01,3382.16
Small Cap,2024-02-01,3307.09
Small Cap,2024-03-01,3146.04
Small Cap,2024-04-01,4324.82
Small Cap,2024-05-01,3264.7
Small Cap,2024-06-01,1220.97
Small Cap,2024-07-01,741.47
Small Cap,2024-08-01,2281.86
Small Cap,2024-09-01,543.71
Small Cap,2024-10-01,2291.77
Small Cap,2024-11-01,1273.71
Small Cap,2024-12-01,4152.19
Small Cap,2025-01-01,943.72
Small Cap,2025-02-01,345.68
Small Cap,2025-03-01,1356.28
Small Cap,2025-04-01,4174.93
Small Cap,2025-05-01,2548.54
Small Cap,2025-06-01,2108.25
Small Cap,2025-07-01,2283.82
Small Cap,2025-08-01,180.72
Small Cap,2025-09-01,4973.63
Small Cap,2025-10-01,1430.81
Small Cap,2025-11-01,3767.85
Small Cap,2025-12-01,2430.93
Small Cap,2026-01-01,4987.49
Small Cap,2026-02-01,-223.39
Small Cap,2026-03-01,-241.39
Small Cap,2026-04-01,3962.67
Small Cap,2026-05-01,2911.71
ELSS,2022-01-01,2903.9
ELSS,2022-02-01,4396.04
ELSS,2022-03-01,1957.31
ELSS,2022-04-01,1447.2
ELSS,2022-05-01,2473.35
ELSS,2022-06-01,4515.89
ELSS,2022-07-01,-210.44
ELSS,2022-08-01,2029.31
ELSS,2022-09-01,300.83
ELSS,2022-10-01,827.9
ELSS,2022-11-01,2492.09
ELSS,2022-12-01,1931.69
ELSS,2023-01-01,278.17
ELSS,2023-02-01,4631.56
ELSS,2023-03-01,3459.38
ELSS,2023-04-01,1367.31
ELSS,2023-05-01,2373.46
ELSS,2023-06-01,1891.35
ELSS,2023-07-01,83.16
ELSS,2023-08-01,-323.62
ELSS,2023-09-01,3941.67
ELSS,2023-10-01,-479.26
ELSS,2023-11-01,3801.35
ELSS,2023-12-01,2945.92
ELSS,2024-01-01,2083.91
ELSS,2024-02-01,3537.43
ELSS,2024-03-01,423.09
ELSS,2024-04-01,812.78
ELSS,2024-05-01,2844.11
ELSS,2024-06-01,-253.4
ELSS,2024-07-01,326.6
ELSS,2024-08-01,4821.08
ELSS,2024-09-01,3482.51
ELSS,2024-10-01,1858.35
ELSS,2024-11-01,729.16
ELSS,2024-12-01,2035.01
ELSS,2025-01-01,2764.85
ELSS,2025-02-01,722.97
ELSS,2025-03-01,3281.81
ELSS,2025-04-01,4996.42
ELSS,2025-05-01,3703.78
ELSS,2025-06-01,1067.79
ELSS,2025-07-01,875.86
ELSS,2025-08-01,1.11
ELSS,2025-09-01,819.91
ELSS,2025-10-01,347.48
ELSS,2025-11-01,2780.68
ELSS,2025-12-01,883.49
ELSS,2026-01-01,1024.15
ELSS,2026-02-01,3320.02
ELSS,2026-03-01,4736.25
ELSS,2026-04-01,269.63
ELSS,2026-05-01,4035.84
Liquid,2022-01-01,2614.45
Liquid,2022-02-01,3714.58
Liquid,2022-03-01,3173.95
Liquid,2022-04-01,4919.68
Liquid,2022-05-01,3558.31
Liquid,2022-06-01,-326.04
Liquid,2022-07-01,4485.84
Liquid,2022-08-01,4733.77
Liquid,2022-09-01,4576.73
Liquid,2022-10-01,3525.07
Liquid,2022-11-01,2775.99
Liquid,2022-12-01,943.64
Liquid,2023-01-01,1770.16
Liquid,2023-02-01,3574.9
Liquid,2023-03-01,1657.84
Liquid,2023-04-01,4127.12
Liquid,2023-05-01,2377.24
Liquid,2023-06-01,2047.71
Liquid,2023-07-01,4262.82
Liquid,2023-08-01,748.28
Liquid,2023-09-01,589.42
Liquid,2023-10-01,2842.25
Liquid,2023-11-01,3431.59
Liquid,2023-12-01,2211.74
Liquid,2024-01-01,1785.92
Liquid,2024-02-01,4437.01
Liquid,2024-03-01,4663.37
Liquid,2024-04-01,4842.07
Liquid,2024-05-01,458.97
Liquid,2024-06-01,565.32
Liquid,2024-07-01,743.88
Liquid,2024-08-01,263.23
Liquid,2024-09-01,369.74
Liquid,2024-10-01,650.6
Liquid,2024-11-01,-196.18
