month_year,total_folio_count,equity_folio_count,debt_folio_count,hybrid_folio_count
2022-01-01,10025239,4212661,2476489,1734947
2022-02-01,10076191,4300935,2481421,1331080
2022-03-01,10092600,5441863,2325143,1228458
2022-04-01,10131010,4056578,1691906,1265717
2022-05-01,10210186,5393536,2541061,1517730
2022-06-01,10299351,5623556,2087806,1778448
2022-07-01,10392064,5436793,1819695,1061157
2022-08-01,10484684,5597913,1966732,1791567
2022-09-01,10554786,4529351,2355566,1570077
2022-10-01,10653404,4865684,2193324,1243575
2022-11-01,10747492,5572727,2356415,1894103
2022-12-01,10840464,5949446,1977356,1688701
2023-01-01,10866533,4647680,2206436,1637140
2023-02-01,10969683,4556315,2063890,1751986
2023-03-01,11052250,5907782,2558578,1846848
2023-04-01,11085623,4435198,2343720,1275822
2023-05-01,11193602,5610176,1709069,1951906
2023-06-01,11249676,6147046,2195687,2011382
2023-07-01,11296942,5129165,2501941,2022957
2023-08-01,11347265,5470976,2059700,1273488
2023-09-01,11459898,5906308,1922203,1228345
2023-10-01,11521011,6321135,2724839,1432576
2023-11-01,11579141,5418097,2591392,1897364
2023-12-01,11658371,5727376,1847826,1360650
2024-01-01,11753296,5197373,2092262,1388843
2024-02-01,11848001,4837779,1837450,1777446
2024-03-01,11925359,5105199,2731140,1506368
2024-04-01,12001562,6148023,1880963,1704925
2024-05-01,12089586,6583811,2848245,1330804
2024-06-01,12171252,5517465,2110346,1264428
2024-07-01,12207619,5762855,2499751,1388353
2024-08-01,12293700,6652799,2320783,1971076
2024-09-01,12320463,6438492,2492915,1338313
2024-10-01,12402308,5951054,2670819,1810032
2024-11-01,12495485,6354673,2561411,2127928
2024-12-01,12531730,5632307,3107514,1906507
2025-01-01,12577123,5610730,2677628,1841493
2025-02-01,12631686,5481691,2211177,1324274
2025-03-01,12666796,6461651,2485576,1823144
2025-04-01,12731236,6842950,2448396,2243807
2025-05-01,12792154,5355779,1921347,2106460
2025-06-01,12837623,5692190,3049128,1598707
2025-07-01,12915389,6604407,2623261,2253083
2025-08-01,12977854,6080977,2461321,1370005
2025-09-01,13106728,5743360,3163270,2213924
2025-10-01,13189820,6047087,2743844,1798180
2025-11-01,13276879,6976866,2075388,2268469
2025-12-01,13385382,7195744,2143470,1696023
2026-01-01,13492975,5616597,3054678,1962366
2026-02-01,13580011,5890601,3240733,2128369
2026-03-01,13689377,6148244,3103125,1795452
2026-04-01,13756683,6477827,2959586,2095594
2026-05-01,13825999,7547168,3439636,1956945
