scheme_code,fund_name,returns_1y,returns_3y,returns_5y,std_dev,sharpe_ratio
125497,SBI Bluechip Fund Direct Plan Growth,41.16,84.94,38.42,19.74,0.92
119418,HDFC Top 100 Fund Direct Growth,45.12,67.62,97.76,19.57,1.86
148540,ICICI Prudential Bluechip Fund Direct Growth,49.28,36.42,79.98,9.61,1.39
135773,Nippon India Large Cap Fund Direct Growth,-1.39,31.23,88.44,32.55,1.95
142517,Kotak Bluechip Fund Direct Growth,19.9,85.54,89.02,6.12,1.11
118834,Axis Bluechip Fund Direct Growth,16.12,91.7,47.1,32.11,0.52
122639,UTI Large Cap Fund Direct Growth,3.79,74.95,35.72,6.51,2.13
133322,ABSL Frontline Equity Fund Direct Growth,7.35,85.53,73.67,24.93,2.14
147839,Mirae Asset Large Cap Fund Direct Growth,7.9,75.86,72.21,30.66,2.4
151234,Tata Large Cap Fund Direct Growth,46.29,52.6,51.35,20.55,1.21
128472,SBI Small Cap Fund Direct Growth,-8.56,14.31,100.02,5.94,1.17
138291,HDFC Small Cap Fund Direct Growth,6.09,82.77,86.61,29.22,1.35
145672,ICICI Pru Smallcap Fund Direct Growth,37.91,92.34,91.84,28.61,2.42
116543,Nippon India Small Cap Fund Direct Growth,44.75,14.47,93.92,8.77,2.16
139847,Kotak Small Cap Fund Direct Growth,-1.72,47.95,107.62,32.93,1.95
120987,SBI Midcap Fund Direct Growth,46.43,25.42,104.9,23.63,1.43
143256,HDFC Mid-Cap Opportunities Fund Direct Growth,31.25,40.57,98.6,14.86,1.06
137654,ICICI Pru Midcap Fund Direct Growth,27.07,81.51,56.62,20.83,1.73
149012,Nippon India Midcap Fund Direct Growth,21.28,88.21,119.95,11.01,2.24
124567,Kotak Emerging Equity Fund Direct Growth,7.6,30.58,109.58,10.83,0.62
132198,SBI ELSS Tax Saver Fund Direct Growth,8.71,79.39,117.46,34.45,2.05
146783,HDFC ELSS Tax Saver Fund Direct Growth,-8.6,18.88,83.56,22.3,0.75
141234,ICICI Pru ELSS Tax Saver Fund Direct Growth,23.21,68.48,90.76,24.51,1.68
115678,Axis ELSS Tax Saver Fund Direct Growth,42.81,51.8,115.3,10.48,2.21
150345,UTI ELSS Tax Saver Fund Direct Growth,-1.21,70.23,96.84,11.0,0.79
127890,SBI Liquid Fund Direct Growth,30.07,43.66,50.37,8.15,0.82
134567,HDFC Liquid Fund Direct Growth,48.51,77.38,53.29,31.24,2.49
121098,ICICI Pru Liquid Fund Direct Growth,56.88,74.91,61.07,8.21,2.34
144321,SBI Gilt Fund Direct Growth,4.31,70.93,73.71,27.52,1.69
136789,HDFC Gilt Fund Direct Growth,58.73,14.64,45.69,30.13,1.6
152167,ICICI Pru Gilt Fund Direct Growth,-6.18,49.66,51.82,24.79,2.06
118765,SBI Corporate Bond Fund Direct Growth,12.95,43.21,98.36,31.62,1.91
140987,HDFC Corporate Bond Fund Direct Growth,46.5,45.4,46.66,31.88,0.33
123456,ICICI Pru Corporate Bond Fund Direct Growth,37.49,45.99,84.09,22.75,1.34
138543,SBI Balanced Advantage Fund Direct Growth,14.27,85.2,33.96,24.23,1.64
147210,HDFC Balanced Advantage Fund Direct Growth,50.46,63.38,94.87,30.84,0.71
129876,ICICI Pru Balanced Advantage Fund Direct Growth,-8.49,56.97,34.65,7.14,0.68
153456,SBI Technology Opportunities Fund Direct Growth,18.29,73.34,37.21,8.2,2.35
131234,SBI Healthcare Opportunities Fund Direct Growth,-0.23,65.62,43.56,22.17,1.81
154321,Nippon India Gold Savings Fund Direct Growth,39.67,96.47,78.53,28.9,1.79
