txn_id,investor_id,scheme_code,txn_date,amount,txn_type,age_band,income_bucket,city_tier,state
1,2197,149012,2026-03-23,45061.41,SIP,35-44,50L+,Tier 2,West Bengal
2,1090,119418,2025-01-28,25530.09,SIP,25-34,5L-10L,Tier 1,West Bengal
3,3394,151234,2025-10-04,47015.84,SIP,18-24,50L+,Tier 1,West Bengal
4,3548,120987,2025-03-13,30706.95,SIP,25-34,5L-10L,Tier 2,West Bengal
5,4704,147839,2024-11-15,869848.99,Lumpsum,25-34,< 5L,Tier 3,Delhi
6,2044,142517,2023-08-28,17193.66,Redemption,18-24,20L-50L,Tier 2,Delhi
7,2859,145672,2025-06-09,33603.5,SIP,35-44,5L-10L,Tier 1,Telangana
8,4965,151234,2024-11-21,24369.31,SIP,35-44,10L-20L,Tier 2,Maharashtra
9,3802,115678,2022-08-13,41137.97,SIP,18-24,5L-10L,Tier 2,Madhya Pradesh
10,1218,150345,2022-03-20,480490.92,Redemption,25-34,10L-20L,Tier 2,Maharashtra
11,1190,131234,2023-11-14,249334.61,Lumpsum,18-24,5L-10L,Tier 1,Telangana
12,4786,121098,2024-03-07,39779.92,SIP,45-54,50L+,Tier 3,Gujarat
13,3053,138543,2022-07-01,197105.21,Lumpsum,45-54,5L-10L,Tier 1,West Bengal
14,378,139847,2025-10-22,910188.88,Lumpsum,25-34,10L-20L,Tier 2,Maharashtra
15,3774,138291,2026-01-08,19426.55,SIP,18-24,< 5L,Tier 2,Karnataka
16,3780,147839,2024-10-12,16403.21,SIP,55-64,5L-10L,Tier 1,Madhya Pradesh
17,1579,121098,2025-05-15,548293.99,Lumpsum,55-64,5L-10L,Tier 1,West Bengal
18,3469,133322,2022-07-07,748036.95,Lumpsum,45-54,20L-50L,Tier 3,Telangana
19,2919,135773,2024-12-16,9979.6,SIP,25-34,10L-20L,Tier 1,Delhi
20,3980,120987,2026-01-21,491830.69,Lumpsum,45-54,< 5L,Tier 3,Delhi
21,186,139847,2022-07-06,125845.66,Redemption,45-54,50L+,Tier 2,Gujarat
22,4181,122639,2025-11-26,485570.02,Redemption,55-64,5L-10L,Tier 3,Tamil Nadu
23,1179,142517,2022-05-05,764236.53,Lumpsum,25-34,< 5L,Tier 3,Haryana
24,4390,119418,2025-07-29,23970.3,SIP,45-54,5L-10L,Tier 2,Kerala
25,4657,141234,2024-08-05,36639.4,SIP,35-44,< 5L,Tier 1,Tamil Nadu
26,2834,145672,2025-08-13,24245.46,SIP,55-64,< 5L,Tier 3,Haryana
27,3771,142517,2024-08-14,5558.94,SIP,55-64,< 5L,Tier 2,Karnataka
28,4741,116543,2024-05-22,24929.12,SIP,18-24,20L-50L,Tier 2,Kerala
29,1048,152167,2026-05-24,273753.18,Lumpsum,65+,50L+,Tier 3,Madhya Pradesh
30,2687,121098,2022-04-11,228990.49,Lumpsum,65+,< 5L,Tier 2,Kerala
31,3435,116543,2022-08-28,263076.81,Lumpsum,18-24,5L-10L,Tier 1,Maharashtra
32,1393,136789,2023-10-22,42219.8,SIP,35-44,20L-50L,Tier 2,Delhi
33,193,143256,2025-07-12,8571.24,SIP,65+,50L+,Tier 2,Rajasthan
34,732,143256,2024-04-25,327869.33,Lumpsum,35-44,5L-10L,Tier 1,Gujarat
35,1894,146783,2023-12-10,34776.06,SIP,55-64,50L+,Tier 2,Karnataka
36,2410,124567,2024-09-13,6026.58,SIP,65+,20L-50L,Tier 2,Karnataka
37,2069,147210,2022-07-05,41814.45,SIP,25-34,20L-50L,Tier 3,Uttar Pradesh
38,2183,152167,2022-07-22,28116.51,SIP,18-24,< 5L,Tier 1,West Bengal
39,1473,137654,2025-10-21,23127.01,SIP,25-34,50L+,Tier 3,West Bengal
40,1985,152167,2025-01-14,26636.55,SIP,45-54,5L-10L,Tier 1,Gujarat
41,2634,144321,2023-02-26,14904.01,Redemption,45-54,10L-20L,Tier 2,Tamil Nadu
42,88,135773,2024-06-26,23332.69,SIP,45-54,< 5L,Tier 3,Telangana
43,2415,118834,2024-09-12,33459.6,SIP,35-44,5L-10L,Tier 3,Kerala
44,261,115678,2024-09-17,15758.36,SIP,18-24,50L+,Tier 2,Rajasthan
45,1120,135773,2025-11-02,41467.66,SIP,18-24,10L-20L,Tier 1,West Bengal
46,4036,128472,2026-02-18,471741.1,Lumpsum,65+,20L-50L,Tier 1,Rajasthan
47,4299,150345,2024-01-16,17030.8,SIP,25-34,10L-20L,Tier 1,West Bengal
48,2523,143256,2025-12-05,18365.17,SIP,55-64,50L+,Tier 1,Gujarat
49,1574,144321,2022-07-06,31707.89,SIP,35-44,50L+,Tier 2,Haryana
50,4245,147839,2025-06-04,48039.99,SIP,35-44,20L-50L,Tier 2,Tamil Nadu
51,4407,154321,2026-03-11,751419.61,Lumpsum,45-54,10L-20L,Tier 2,Telangana
52,1998,115678,2023-11-10,14266.57,SIP,65+,50L+,Tier 3,Uttar Pradesh
53,2528,138543,2025-12-11,2037.58,SIP,55-64,20L-50L,Tier 2,Haryana
54,1125,147210,2022-07-08,495442.28,Lumpsum,25-34,50L+,Tier 3,Karnataka
55,1039,134567,2025-12-30,33196.53,SIP,25-34,5L-10L,Tier 3,Gujarat
56,2961,118834,2024-11-07,4185.44,SIP,35-44,50L+,Tier 1,Delhi
57,1519,122639,2024-09-06,1684.56,SIP,25-34,5L-10L,Tier 2,Madhya Pradesh
58,4814,135773,2026-05-26,37424.59,SIP,45-54,< 5L,Tier 3,Uttar Pradesh
59,2353,122639,2024-02-21,395218.38,Redemption,45-54,10L-20L,Tier 3,Karnataka
60,588,122639,2022-06-13,680447.92,Lumpsum,35-44,< 5L,Tier 3,Uttar Pradesh
61,3250,129876,2026-01-13,37253.83,SIP,65+,20L-50L,Tier 1,Kerala
62,37,147839,2025-01-04,163521.81,Redemption,25-34,< 5L,Tier 2,Maharashtra
63,362,142517,2022-12-07,414850.14,Lumpsum,25-34,< 5L,Tier 3,Telangana
64,1686,149012,2025-06-01,21912.15,SIP,18-24,10L-20L,Tier 1,Uttar Pradesh
65,407,141234,2024-11-12,375171.82,Redemption,55-64,50L+,Tier 3,Gujarat
66,4781,136789,2026-02-03,15753.55,SIP,18-24,< 5L,Tier 2,Delhi
67,2618,140987,2023-09-03,916.56,SIP,25-34,5L-10L,Tier 3,Karnataka
68,3739,122639,2022-04-07,447274.93,Lumpsum,55-64,50L+,Tier 2,Haryana
69,4727,146783,2023-03-07,30786.53,SIP,45-54,20L-50L,Tier 2,West Bengal
70,4254,150345,2022-11-08,222596.03,Redemption,45-54,20L-50L,Tier 3,Rajasthan
71,2972,127890,2023-06-22,47718.64,SIP,35-44,50L+,Tier 1,Madhya Pradesh
72,4178,122639,2023-03-29,23075.88,SIP,25-34,50L+,Tier 2,West Bengal
73,1877,131234,2024-02-17,42788.47,SIP,65+,20L-50L,Tier 2,Gujarat
74,3952,138291,2025-10-25,924272.61,Lumpsum,25-34,5L-10L,Tier 3,Karnataka
75,4260,143256,2023-11-20,298328.12,Lumpsum,18-24,20L-50L,Tier 2,Telangana
76,2984,151234,2023-12-30,43515.43,SIP,45-54,< 5L,Tier 3,Gujarat
77,2832,116543,2024-06-10,27012.2,SIP,55-64,5L-10L,Tier 1,Maharashtra
78,1763,149012,2022-02-15,9137.8,SIP,25-34,< 5L,Tier 3,Tamil Nadu
79,3231,125497,2025-08-09,12305.02,SIP,25-34,10L-20L,Tier 1,Maharashtra
80,1848,144321,2023-02-01,19580.32,SIP,45-54,20L-50L,Tier 1,Kerala
81,691,151234,2022-08-14,18829.48,SIP,18-24,5L-10L,Tier 3,Delhi
82,768,131234,2023-12-07,13440.57,SIP,65+,10L-20L,Tier 2,Maharashtra
83,3735,137654,2022-02-06,249459.7,Lumpsum,18-24,50L+,Tier 2,Delhi
84,4058,145672,2023-02-02,7750.72,SIP,45-54,< 5L,Tier 1,Madhya Pradesh
85,2646,147839,2022-11-03,27963.74,SIP,65+,20L-50L,Tier 1,Madhya Pradesh
86,1951,142517,2023-11-15,45857.86,SIP,45-54,10L-20L,Tier 3,Uttar Pradesh
87,4545,134567,2026-04-16,90771.54,Redemption,35-44,< 5L,Tier 2,Delhi
88,1203,145672,2025-02-05,3006.07,SIP,18-24,20L-50L,Tier 2,West Bengal
89,98,136789,2024-03-24,9651.05,SIP,45-54,20L-50L,Tier 3,West Bengal
90,154,135773,2024-07-29,389901.43,Lumpsum,55-64,20L-50L,Tier 2,Maharashtra
91,655,133322,2025-10-06,687956.75,Lumpsum,25-34,< 5L,Tier 3,Tamil Nadu
92,2495,131234,2025-02-12,1106.11,SIP,45-54,< 5L,Tier 2,Gujarat
93,4724,151234,2023-10-05,6864.0,SIP,45-54,10L-20L,Tier 2,Delhi
94,2885,122639,2025-05-29,4490.44,SIP,65+,10L-20L,Tier 3,Rajasthan
95,2672,150345,2024-01-28,21115.41,SIP,35-44,50L+,Tier 2,Gujarat
96,4900,128472,2025-05-05,22894.72,SIP,18-24,20L-50L,Tier 3,Kerala
97,534,139847,2023-04-25,48048.27,SIP,25-34,50L+,Tier 1,Tamil Nadu
98,1761,147839,2025-05-07,1427.96,SIP,45-54,20L-50L,Tier 2,Delhi
99,2714,140987,2026-03-12,47797.97,SIP,65+,5L-10L,Tier 2,Uttar Pradesh
100,737,120987,2024-03-06,423609.58,Redemption,65+,10L-20L,Tier 2,Gujarat
101,1994,142517,2026-05-14,285495.3,Lumpsum,25-34,< 5L,Tier 2,Tamil Nadu
102,4926,124567,2026-04-09,13194.16,SIP,35-44,5L-10L,Tier 1,Gujarat
103,3297,140987,2025-04-21,426013.04,Lumpsum,25-34,5L-10L,Tier 1,Uttar Pradesh
104,4090,134567,2024-06-07,13914.15,SIP,18-24,10L-20L,Tier 1,Madhya Pradesh
105,4598,138291,2022-04-22,980727.51,Lumpsum,45-54,20L-50L,Tier 2,Kerala
106,2122,144321,2022-07-14,79006.67,Redemption,55-64,5L-10L,Tier 1,West Bengal
107,3273,144321,2024-11-30,32406.77,SIP,35-44,< 5L,Tier 1,Tamil Nadu
108,4995,116543,2025-10-13,376300.45,Lumpsum,18-24,20L-50L,Tier 2,Delhi
109,3975,148540,2024-02-27,70792.57,Redemption,55-64,10L-20L,Tier 2,Karnataka
110,2107,154321,2024-02-11,49121.86,SIP,25-34,10L-20L,Tier 2,Karnataka
111,1227,152167,2024-08-02,69200.43,Redemption,65+,5L-10L,Tier 1,Kerala
112,3376,138291,2025-10-28,308320.11,Redemption,18-24,50L+,Tier 1,Gujarat
113,3155,123456,2024-12-01,49317.81,SIP,55-64,20L-50L,Tier 1,Kerala
114,2824,140987,2026-01-10,47897.34,SIP,25-34,50L+,Tier 1,Madhya Pradesh
115,312,151234,2025-04-03,4602.74,SIP,18-24,5L-10L,Tier 3,Maharashtra
116,1609,133322,2025-12-27,14963.08,SIP,45-54,10L-20L,Tier 1,Madhya Pradesh
117,4625,153456,2022-11-26,517187.55,Lumpsum,45-54,< 5L,Tier 3,Tamil Nadu
118,1510,125497,2026-02-07,17032.92,Lumpsum,45-54,5L-10L,Tier 1,Madhya Pradesh
119,4226,144321,2024-06-21,13475.85,SIP,55-64,10L-20L,Tier 3,Madhya Pradesh
120,3068,138543,2024-02-09,430732.17,Lumpsum,35-44,50L+,Tier 1,Uttar Pradesh
121,1566,127890,2023-05-24,537169.75,Lumpsum,65+,5L-10L,Tier 2,West Bengal
122,3539,137654,2025-06-01,128039.0,Lumpsum,18-24,< 5L,Tier 3,Delhi
123,1594,129876,2022-03-06,221805.11,Lumpsum,25-34,20L-50L,Tier 1,Haryana
124,4260,115678,2023-09-28,140629.03,Lumpsum,18-24,20L-50L,Tier 2,Telangana
125,537,134567,2023-06-20,30062.03,SIP,18-24,5L-10L,Tier 2,Tamil Nadu
126,1901,147210,2022-08-20,158030.45,Redemption,55-64,10L-20L,Tier 2,Karnataka
127,1447,131234,2023-07-27,37901.84,SIP,25-34,50L+,Tier 2,Rajasthan
