scheme_code,fund_name,sector,stock_name,holding_weight_pct,market_cap_category
125497,SBI Bluechip Fund Direct Plan Growth,Chemicals,Aarti Industries,35.46,Small Cap
125497,SBI Bluechip Fund Direct Plan Growth,Metals,Tata Steel,37.02,Mid Cap
125497,SBI Bluechip Fund Direct Plan Growth,Auto,Hero MotoCorp,7.6,Mid Cap
125497,SBI Bluechip Fund Direct Plan Growth,Infrastructure,IRB Infra,0.74,Large Cap
125497,SBI Bluechip Fund Direct Plan Growth,Insurance,Max Life,10.29,Small Cap
125497,SBI Bluechip Fund Direct Plan Growth,Healthcare,Fortis,8.89,Large Cap
119418,HDFC Top 100 Fund Direct Growth,IT,Tech Mahindra,4.27,Small Cap
119418,HDFC Top 100 Fund Direct Growth,Consumer Durables,Titan,12.68,Small Cap
119418,HDFC Top 100 Fund Direct Growth,Pharma,Cipla,4.87,Small Cap
119418,HDFC Top 100 Fund Direct Growth,FMCG,Nestle India,4.82,Large Cap
119418,HDFC Top 100 Fund Direct Growth,Insurance,HDFC Life,11.27,Mid Cap
119418,HDFC Top 100 Fund Direct Growth,Infrastructure,L&T,11.71,Mid Cap
119418,HDFC Top 100 Fund Direct Growth,Banking,Kotak Mahindra Bank,0.58,Large Cap
119418,HDFC Top 100 Fund Direct Growth,Real Estate,Sobha,4.36,Large Cap
119418,HDFC Top 100 Fund Direct Growth,Auto,M&M,11.13,Large Cap
119418,HDFC Top 100 Fund Direct Growth,Power,JSW Energy,8.87,Large Cap
119418,HDFC Top 100 Fund Direct Growth,Healthcare,Narayana Hrudayalaya,8.03,Small Cap
119418,HDFC Top 100 Fund Direct Growth,Metals,JSW Steel,2.69,Small Cap
119418,HDFC Top 100 Fund Direct Growth,Telecom,Vodafone Idea,14.73,Large Cap
148540,ICICI Prudential Bluechip Fund Direct Growth,FMCG,HUL,28.14,Large Cap
148540,ICICI Prudential Bluechip Fund Direct Growth,Healthcare,Apollo Hospitals,9.85,Mid Cap
148540,ICICI Prudential Bluechip Fund Direct Growth,Consumer Durables,Titan,3.12,Large Cap
148540,ICICI Prudential Bluechip Fund Direct Growth,Telecom,Railtel,16.59,Large Cap
148540,ICICI Prudential Bluechip Fund Direct Growth,Real Estate,Godrej Properties,3.84,Large Cap
148540,ICICI Prudential Bluechip Fund Direct Growth,Auto,Hero MotoCorp,27.02,Large Cap
148540,ICICI Prudential Bluechip Fund Direct Growth,Banking,SBI,11.45,Large Cap
135773,Nippon India Large Cap Fund Direct Growth,Infrastructure,Siemens,0.05,Mid Cap
135773,Nippon India Large Cap Fund Direct Growth,Real Estate,Sobha,10.78,Mid Cap
135773,Nippon India Large Cap Fund Direct Growth,Energy,NTPC,5.08,Small Cap
135773,Nippon India Large Cap Fund Direct Growth,Insurance,SBI Life,4.19,Small Cap
135773,Nippon India Large Cap Fund Direct Growth,Power,JSW Energy,4.56,Small Cap
135773,Nippon India Large Cap Fund Direct Growth,Consumer Durables,Bajaj Electricals,8.67,Mid Cap
135773,Nippon India Large Cap Fund Direct Growth,Banking,Axis Bank,10.0,Mid Cap
135773,Nippon India Large Cap Fund Direct Growth,Auto,M&M,10.97,Small Cap
135773,Nippon India Large Cap Fund Direct Growth,Metals,Vedanta,13.57,Small Cap
135773,Nippon India Large Cap Fund Direct Growth,Telecom,Indus Towers,2.67,Large Cap
135773,Nippon India Large Cap Fund Direct Growth,Pharma,Dr Reddy's,11.56,Large Cap
135773,Nippon India Large Cap Fund Direct Growth,Chemicals,Pidilite,9.26,Large Cap
135773,Nippon India Large Cap Fund Direct Growth,Healthcare,Fortis,0.53,Mid Cap
135773,Nippon India Large Cap Fund Direct Growth,FMCG,HUL,8.1,Large Cap
142517,Kotak Bluechip Fund Direct Growth,Infrastructure,IRB Infra,12.07,Small Cap
142517,Kotak Bluechip Fund Direct Growth,Real Estate,Prestige Estates,8.97,Mid Cap
142517,Kotak Bluechip Fund Direct Growth,FMCG,Britannia,13.3,Mid Cap
142517,Kotak Bluechip Fund Direct Growth,Pharma,Sun Pharma,19.8,Mid Cap
142517,Kotak Bluechip Fund Direct Growth,Insurance,SBI Life,19.41,Small Cap
142517,Kotak Bluechip Fund Direct Growth,Auto,Tata Motors,20.04,Large Cap
142517,Kotak Bluechip Fund Direct Growth,Banking,ICICI Bank,6.41,Large Cap
118834,Axis Bluechip Fund Direct Growth,Telecom,Bharti Airtel,13.03,Small Cap
118834,Axis Bluechip Fund Direct Growth,Metals,SAIL,24.23,Small Cap
118834,Axis Bluechip Fund Direct Growth,Healthcare,Apollo Hospitals,23.37,Large Cap
118834,Axis Bluechip Fund Direct Growth,Chemicals,UPL,26.41,Small Cap
118834,Axis Bluechip Fund Direct Growth,Consumer Durables,Bajaj Electricals,12.96,Small Cap
122639,UTI Large Cap Fund Direct Growth,FMCG,HUL,9.1,Large Cap
122639,UTI Large Cap Fund Direct Growth,Telecom,Railtel,16.2,Large Cap
122639,UTI Large Cap Fund Direct Growth,Pharma,Sun Pharma,12.4,Small Cap
122639,UTI Large Cap Fund Direct Growth,Metals,Hindalco,15.47,Large Cap
122639,UTI Large Cap Fund Direct Growth,Healthcare,Fortis,0.29,Small Cap
122639,UTI Large Cap Fund Direct Growth,Insurance,Birla Sun Life,7.65,Small Cap
122639,UTI Large Cap Fund Direct Growth,Auto,Hero MotoCorp,13.06,Large Cap
122639,UTI Large Cap Fund Direct Growth,Real Estate,DLF,13.55,Small Cap
122639,UTI Large Cap Fund Direct Growth,Energy,NTPC,12.28,Small Cap
133322,ABSL Frontline Equity Fund Direct Growth,Banking,SBI,6.27,Mid Cap
133322,ABSL Frontline Equity Fund Direct Growth,Auto,M&M,0.37,Large Cap
133322,ABSL Frontline Equity Fund Direct Growth,Pharma,Dr Reddy's,9.74,Small Cap
133322,ABSL Frontline Equity Fund Direct Growth,Infrastructure,L&T,3.95,Mid Cap
133322,ABSL Frontline Equity Fund Direct Growth,IT,HCL Tech,16.37,Large Cap
133322,ABSL Frontline Equity Fund Direct Growth,Energy,NTPC,14.82,Small Cap
133322,ABSL Frontline Equity Fund Direct Growth,Chemicals,Aarti Industries,14.52,Mid Cap
133322,ABSL Frontline Equity Fund Direct Growth,FMCG,ITC,1.97,Small Cap
133322,ABSL Frontline Equity Fund Direct Growth,Healthcare,Max Healthcare,17.41,Mid Cap
133322,ABSL Frontline Equity Fund Direct Growth,Telecom,Bharti Airtel,14.58,Small Cap
147839,Mirae Asset Large Cap Fund Direct Growth,Banking,HDFC Bank,10.6,Large Cap
147839,Mirae Asset Large Cap Fund Direct Growth,Consumer Durables,Voltas,4.9,Large Cap
147839,Mirae Asset Large Cap Fund Direct Growth,Auto,Maruti Suzuki,13.15,Mid Cap
147839,Mirae Asset Large Cap Fund Direct Growth,Power,NTPC,18.07,Large Cap
147839,Mirae Asset Large Cap Fund Direct Growth,Metals,JSW Steel,3.4,Small Cap
147839,Mirae Asset Large Cap Fund Direct Growth,Chemicals,UPL,15.56,Large Cap
147839,Mirae Asset Large Cap Fund Direct Growth,Pharma,Cipla,11.57,Large Cap
147839,Mirae Asset Large Cap Fund Direct Growth,Real Estate,Prestige Estates,9.54,Small Cap
147839,Mirae Asset Large Cap Fund Direct Growth,Healthcare,Medanta,1.79,Large Cap
147839,Mirae Asset Large Cap Fund Direct Growth,FMCG,Britannia,11.42,Mid Cap
151234,Tata Large Cap Fund Direct Growth,Insurance,ICICI Prudential Life,3.73,Mid Cap
151234,Tata Large Cap Fund Direct Growth,FMCG,Dabur,15.96,Small Cap
151234,Tata Large Cap Fund Direct Growth,Real Estate,Oberoi Realty,20.46,Large Cap
151234,Tata Large Cap Fund Direct Growth,Consumer Durables,Havells,20.18,Mid Cap
151234,Tata Large Cap Fund Direct Growth,Healthcare,Max Healthcare,8.78,Mid Cap
151234,Tata Large Cap Fund Direct Growth,Banking,Kotak Mahindra Bank,20.33,Small Cap
151234,Tata Large Cap Fund Direct Growth,Power,Torrent Power,10.56,Large Cap
128472,SBI Small Cap Fund Direct Growth,Energy,ONGC,13.2,Small Cap
128472,SBI Small Cap Fund Direct Growth,Consumer Durables,Titan,13.68,Small Cap
128472,SBI Small Cap Fund Direct Growth,Telecom,Bharti Airtel,6.44,Large Cap
128472,SBI Small Cap Fund Direct Growth,Real Estate,Sobha,7.98,Small Cap
128472,SBI Small Cap Fund Direct Growth,FMCG,Dabur,6.04,Large Cap
128472,SBI Small Cap Fund Direct Growth,Power,JSW Energy,2.69,Mid Cap
128472,SBI Small Cap Fund Direct Growth,Insurance,Max Life,11.66,Large Cap
128472,SBI Small Cap Fund Direct Growth,Pharma,Biocon,9.55,Large Cap
128472,SBI Small Cap Fund Direct Growth,IT,Tech Mahindra,0.77,Small Cap
128472,SBI Small Cap Fund Direct Growth,Infrastructure,Adani Ports,12.83,Small Cap
128472,SBI Small Cap Fund Direct Growth,Banking,ICICI Bank,15.16,Mid Cap
138291,HDFC Small Cap Fund Direct Growth,Insurance,Birla Sun Life,12.21,Mid Cap
138291,HDFC Small Cap Fund Direct Growth,FMCG,ITC,6.15,Large Cap
138291,HDFC Small Cap Fund Direct Growth,Metals,Tata Steel,8.82,Mid Cap
138291,HDFC Small Cap Fund Direct Growth,Power,JSW Energy,2.91,Large Cap
138291,HDFC Small Cap Fund Direct Growth,IT,Infosys,3.72,Large Cap
138291,HDFC Small Cap Fund Direct Growth,Banking,Axis Bank,10.02,Large Cap
138291,HDFC Small Cap Fund Direct Growth,Infrastructure,KNR Constructions,8.45,Large Cap
138291,HDFC Small Cap Fund Direct Growth,Healthcare,Apollo Hospitals,0.15,Mid Cap
138291,HDFC Small Cap Fund Direct Growth,Real Estate,Oberoi Realty,6.36,Small Cap
138291,HDFC Small Cap Fund Direct Growth,Auto,Maruti Suzuki,2.75,Large Cap
138291,HDFC Small Cap Fund Direct Growth,Chemicals,Atul Ltd,3.49,Mid Cap
138291,HDFC Small Cap Fund Direct Growth,Energy,Power Grid,14.4,Mid Cap
138291,HDFC Small Cap Fund Direct Growth,Consumer Durables,Titan,3.75,Large Cap
138291,HDFC Small Cap Fund Direct Growth,Telecom,Railtel,8.37,Small Cap
138291,HDFC Small Cap Fund Direct Growth,Pharma,Cipla,8.45,Mid Cap
145672,ICICI Pru Smallcap Fund Direct Growth,Telecom,Indus Towers,23.58,Large Cap
145672,ICICI Pru Smallcap Fund Direct Growth,Pharma,Dr Reddy's,7.6,Large Cap
145672,ICICI Pru Smallcap Fund Direct Growth,Banking,Kotak Mahindra Bank,10.19,Mid Cap
145672,ICICI Pru Smallcap Fund Direct Growth,Insurance,ICICI Prudential Life,13.3,Large Cap
145672,ICICI Pru Smallcap Fund Direct Growth,FMCG,Britannia,9.49,Mid Cap
145672,ICICI Pru Smallcap Fund Direct Growth,IT,TCS,3.69,Mid Cap
145672,ICICI Pru Smallcap Fund Direct Growth,Chemicals,UPL,9.96,Mid Cap
145672,ICICI Pru Smallcap Fund Direct Growth,Power,Torrent Power,6.26,Small Cap
145672,ICICI Pru Smallcap Fund Direct Growth,Energy,Power Grid,15.93,Large Cap
116543,Nippon India Small Cap Fund Direct Growth,IT,TCS,23.04,Mid Cap
116543,Nippon India Small Cap Fund Direct Growth,Telecom,Tata Comm,5.96,Mid Cap
116543,Nippon India Small Cap Fund Direct Growth,Chemicals,Atul Ltd,21.23,Small Cap
116543,Nippon India Small Cap Fund Direct Growth,Energy,NTPC,12.67,Small Cap
116543,Nippon India Small Cap Fund Direct Growth,Real Estate,Oberoi Realty,20.85,Small Cap
116543,Nippon India Small Cap Fund Direct Growth,Metals,SAIL,5.2,Mid Cap
116543,Nippon India Small Cap Fund Direct Growth,Power,JSW Energy,2.67,Large Cap
116543,Nippon India Small Cap Fund Direct Growth,Infrastructure,Adani Ports,8.38,Large Cap
139847,Kotak Small Cap Fund Direct Growth,Pharma,Cipla,15.24,Small Cap
139847,Kotak Small Cap Fund Direct Growth,Auto,M&M,25.71,Small Cap
139847,Kotak Small Cap Fund Direct Growth,FMCG,Dabur,24.5,Mid Cap
139847,Kotak Small Cap Fund Direct Growth,Metals,Vedanta,20.64,Small Cap
139847,Kotak Small Cap Fund Direct Growth,Chemicals,Aarti Industries,13.91,Mid Cap
120987,SBI Midcap Fund Direct Growth,Telecom,Vodafone Idea,3.65,Large Cap
120987,SBI Midcap Fund Direct Growth,Energy,ONGC,5.24,Mid Cap
120987,SBI Midcap Fund Direct Growth,FMCG,Dabur,2.35,Mid Cap
120987,SBI Midcap Fund Direct Growth,Pharma,Biocon,10.97,Mid Cap
120987,SBI Midcap Fund Direct Growth,Chemicals,SRF,11.95,Small Cap
120987,SBI Midcap Fund Direct Growth,Infrastructure,Adani Ports,11.66,Mid Cap
120987,SBI Midcap Fund Direct Growth,IT,Wipro,9.81,Large Cap
120987,SBI Midcap Fund Direct Growth,Insurance,Max Life,10.96,Mid Cap
120987,SBI Midcap Fund Direct Growth,Power,NTPC,13.72,Large Cap
120987,SBI Midcap Fund Direct Growth,Healthcare,Narayana Hrudayalaya,7.36,Large Cap
120987,SBI Midcap Fund Direct Growth,Banking,ICICI Bank,11.32,Small Cap
120987,SBI Midcap Fund Direct Growth,Real Estate,Sobha,1.02,Small Cap
143256,HDFC Mid-Cap Opportunities Fund Direct Growth,Healthcare,Narayana Hrudayalaya,8.16,Small Cap
143256,HDFC Mid-Cap Opportunities Fund Direct Growth,Telecom,Vodafone Idea,13.63,Large Cap
143256,HDFC Mid-Cap Opportunities Fund Direct Growth,Pharma,Cipla,13.59,Small Cap
143256,HDFC Mid-Cap Opportunities Fund Direct Growth,Insurance,Birla Sun Life,8.0,Small Cap
143256,HDFC Mid-Cap Opportunities Fund Direct Growth,Auto,Bajaj Auto,14.2,Small Cap
143256,HDFC Mid-Cap Opportunities Fund Direct Growth,Infrastructure,Siemens,12.37,Mid Cap
143256,HDFC Mid-Cap Opportunities Fund Direct Growth,Chemicals,SRF,0.13,Large Cap
143256,HDFC Mid-Cap Opportunities Fund Direct Growth,Power,JSW Energy,1.61,Small Cap
143256,HDFC Mid-Cap Opportunities Fund Direct Growth,Real Estate,Sobha,2.46,Large Cap
