amfi_code,scheme_name,category,alpha_annual,beta,r_squared,p_value,n_obs,alpha_rank
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,0.3033696538698332,-0.023196062044059693,0.0001,0.687179,1149,1
149324,DSP Small Cap Fund - Regular - Growth,Equity,0.3005787817097677,0.011455159960520708,0.0,0.840494,1149,2
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,0.2926358334175106,0.000549004250631712,0.0,0.99009,1149,3
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,0.2827036785246582,0.018133884083859245,0.0002,0.654295,1149,4
120843,Kotak Flexicap Fund - Regular - Growth,Equity,0.27330465038306057,-0.02282956979242654,0.0003,0.530528,1149,5
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,0.2719535450128533,0.0051035258305283104,0.0,0.906369,1149,6
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,0.2698375144191807,0.023683558075848623,0.0005,0.466427,1149,7
149323,DSP Midcap Fund - Regular - Growth,Equity,0.26598577542043045,-0.002523004664699247,0.0,0.950525,1149,8
119094,Axis Midcap Fund - Regular - Growth,Equity,0.2607666908004223,-0.06626542862803757,0.0019,0.135988,1149,9
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,0.23201007160635082,-0.03175144113890972,0.0009,0.313143,1149,10
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,0.21829397904608644,-0.008353832126962021,0.0001,0.796646,1149,11
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,0.21399784776051212,0.02108631625012803,0.0003,0.527551,1149,12
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,0.2119482701352573,0.016232169761417007,0.0002,0.621855,1149,13
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,0.20873010086942337,-0.026387719943843004,0.0005,0.45537,1149,14
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,0.1986859936686296,-0.026159307513513405,0.0006,0.412706,1149,15
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,0.17729754927531766,0.04882040425957739,0.0018,0.146176,1149,16
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,0.17703302365844073,-0.0402689523698206,0.0014,0.205437,1149,17
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,0.1750072167561127,0.1034966369133759,0.0028,0.073339,1149,18
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,0.17048756803412696,-0.019486785689474526,0.0004,0.507595,1149,19
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,0.1625385327998104,0.04189646272811977,0.0013,0.229785,1149,20
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,0.16211256794033255,0.016682689437770827,0.0002,0.644047,1149,21
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,0.15643835948169668,-0.03663900671860934,0.0011,0.253157,1149,22
118635,Nippon India ETF Nifty 50 BeES,Equity,0.1513635464823924,-0.001433521389780133,0.0,0.961567,1149,23
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,0.13173190226099432,-0.004050271130006534,0.0,0.90199,1149,24
120841,Kotak Bluechip Fund - Regular - Growth,Equity,0.13042924450705445,0.036356399022199795,0.0012,0.238459,1149,25
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,0.11989100971217971,0.009054412621739154,0.0,0.829518,1149,26
101207,ABSL Small Cap Fund - Regular - Growth,Equity,0.10897091901704538,-0.06528924788351524,0.0011,0.269234,1149,27
119093,Axis Bluechip Fund - Direct - Growth,Equity,0.08232801295222093,0.02588321244009315,0.0006,0.419121,1149,28
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,0.0780443887615508,0.01805687420811816,0.0002,0.659647,1149,29
119092,Axis Bluechip Fund - Regular - Growth,Equity,0.0689952982167755,0.009730745001153637,0.0001,0.760808,1149,30
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,0.06746210411099539,-0.0004440926329707234,0.0001,0.694748,1149,31
120844,Kotak Liquid Fund - Regular - Growth,Debt,0.06455677495375998,-0.00040074423947840013,0.0001,0.73331,1149,32
101208,ABSL Liquid Fund - Regular - Growth,Debt,0.060861457957871144,0.00026670968338238433,0.0,0.818214,1149,33
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,0.05620895216638369,-0.006413850728276477,0.0004,0.480386,1149,34
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,0.05074772999976104,0.0012566742731558458,0.0,0.890549,1149,35
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,0.048824215945539845,0.06200180438267168,0.001,0.278004,1149,36
119095,Axis Small Cap Fund - Regular - Growth,Equity,0.048015953637759554,-0.066951174639292,0.0012,0.243608,1149,37
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,0.042817920315060876,0.0011582183155281463,0.0,0.897012,1149,38
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,0.03747580763443281,-0.0582684314388089,0.0027,0.080264,1149,39
102886,UTI Mid Cap Fund - Regular - Growth,Equity,0.028969397866379445,-0.04212502902189432,0.0009,0.310578,1149,40
