amfi_code,scheme_name,category,overall_rank,composite_score,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,sortino_ratio,alpha_annual,beta,r_squared,max_drawdown,expense_ratio_pct,score_3yr,score_sharpe,score_alpha,score_expense,score_mdd,score,cagr,fund_name
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,1,84.74,0.3109127529295095,0.3228565050731844,,0.8832556184698839,1.2858427838168305,0.2926358334175106,0.0005490042506317,0.0,-0.1818851357211629,1.36,89.74358974358975,92.3076923076923,94.87179487179486,64.1025641025641,61.53846153846154,84.74,0.3228565050731844,ICICI Pru Midcap Fund - Regular - Growth
119094,Axis Midcap Fund - Regular - Growth,Equity,2,81.15,0.2466380025720633,0.3589466704778843,,0.7305467735561727,1.0552844773147765,0.2607666908004223,-0.0662654286280375,0.0019,-0.2096088386203919,1.38,100.0,79.48717948717949,79.48717948717949,56.41025641025641,69.23076923076923,81.15,0.3589466704778843,Axis Midcap Fund - Regular - Growth
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,3,79.62,0.5676725228545341,0.3252004009571463,,0.8082678003905593,1.1442164603950202,0.2719535450128533,0.0051035258305283,0.0,-0.1621720857464484,1.38,92.3076923076923,84.61538461538461,87.17948717948718,56.41025641025641,48.71794871794872,79.62,0.3252004009571463,HDFC Mid-Cap Opportunities Fund - Regular - Growth
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,4,79.49,0.2324287062246346,0.3477140479690455,,1.0682238272314732,1.490738952294708,0.2698375144191807,0.0236835580758486,0.0005,-0.1126572907502827,1.46,97.43589743589745,100.0,84.61538461538461,43.58974358974359,17.94871794871795,79.49,0.3477140479690455,Mirae Asset Large Cap Fund - Regular - Growth
120843,Kotak Flexicap Fund - Regular - Growth,Equity,5,76.92,0.2356936255381188,0.2880783104738147,,0.965560651744012,1.4795034584167766,0.2733046503830605,-0.0228295697924265,0.0003,-0.1297396816518679,1.45,82.05128205128204,97.43589743589745,89.74358974358975,46.15384615384615,30.76923076923077,76.92,0.2880783104738147,Kotak Flexicap Fund - Regular - Growth
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,6,75.13,0.890474108810555,0.2555377284858908,,0.7116901743847246,1.0672557743438265,0.3033696538698332,-0.0231960620440596,0.0001,-0.2870600572176455,1.43,71.7948717948718,69.23076923076923,100.0,48.71794871794872,89.74358974358975,75.13,0.2555377284858908,SBI Small Cap Fund - Regular Plan - Growth
149324,DSP Small Cap Fund - Regular - Growth,Equity,7,74.74,0.6561286583427413,0.2784764113470477,,0.7144216579881013,1.0309617308730288,0.3005787817097677,0.0114551599605207,0.0,-0.3117190030063421,1.52,76.92307692307693,71.7948717948718,97.43589743589745,33.33333333333333,92.3076923076923,74.74,0.2784764113470477,DSP Small Cap Fund - Regular - Growth
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,8,74.49,0.1308686816081219,0.3253918297750897,,0.7146822636441237,1.0639638792991957,0.2119482701352573,0.016232169761417,0.0002,-0.1258827560692251,0.8,94.87179487179486,74.35897435897436,69.23076923076923,71.7948717948718,28.205128205128204,74.49,0.3253918297750897,ICICI Pru Bluechip Fund - Direct - Growth
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,9,73.85,0.3908636592605661,0.2884578533477688,,0.9190465356358282,1.3528150221233652,0.2827036785246582,0.0181338840838592,0.0002,-0.1639674294693263,1.6,84.61538461538461,94.87179487179486,92.3076923076923,7.6923076923076925,51.28205128205128,73.85,0.2884578533477688,Mirae Asset Tax Saver Fund - Regular - Growth
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,10,71.54,0.6458759301491215,0.307891306409674,,0.8609773262277756,1.2914833497690066,0.2320100716063508,-0.0317514411389097,0.0009,-0.1501238549864533,1.54,87.17948717948718,89.74358974358975,76.92307692307693,23.07692307692308,41.02564102564102,71.54,0.307891306409674,SBI Bluechip Fund - Regular Plan - Growth
