amfi_code,Fund Name,VaR (95%),CVaR
101207,ABSL Small Cap Fund - Regular - Growth,-0.0239,-0.0303
119095,Axis Small Cap Fund - Regular - Growth,-0.0233,-0.0297
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.0232,-0.0302
118634,Nippon India Small Cap Fund - Regular - Growth,-0.0228,-0.0299
119598,SBI Small Cap Fund - Regular Plan - Growth,-0.0215,-0.0284
149324,DSP Small Cap Fund - Regular - Growth,-0.0215,-0.0286
119094,Axis Midcap Fund - Regular - Growth,-0.017,-0.0224
102886,UTI Mid Cap Fund - Regular - Growth,-0.0169,-0.0218
120842,Kotak Emerging Equity Fund - Regular - Growth,-0.0169,-0.0213
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-0.0169,-0.0218
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-0.0168,-0.0215
120505,ICICI Pru Midcap Fund - Regular - Growth,-0.0162,-0.0224
149323,DSP Midcap Fund - Regular - Growth,-0.0159,-0.0209
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-0.0153,-0.0199
102887,UTI Flexi Cap Fund - Regular - Growth,-0.0137,-0.018
120843,Kotak Flexicap Fund - Regular - Growth,-0.0133,-0.0171
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.0133,-0.0174
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-0.013,-0.0178
149322,DSP Top 100 Equity Fund - Regular - Growth,-0.013,-0.017
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.0129,-0.0168
119092,Axis Bluechip Fund - Regular - Growth,-0.0127,-0.0162
148567,Mirae Asset Large Cap Fund - Regular - Growth,-0.0126,-0.0163
119093,Axis Bluechip Fund - Direct - Growth,-0.0126,-0.0163
120504,ICICI Pru Bluechip Fund - Direct - Growth,-0.0125,-0.0162
125497,HDFC Top 100 Fund - Direct Plan - Growth,-0.0125,-0.017
118632,Nippon India Large Cap Fund - Regular - Growth,-0.0123,-0.0163
101206,ABSL Frontline Equity Fund - Regular - Growth,-0.0122,-0.0161
119552,SBI Bluechip Fund - Direct Plan - Growth,-0.0121,-0.0161
120503,ICICI Pru Bluechip Fund - Regular - Growth,-0.0121,-0.0161
118633,Nippon India Large Cap Fund - Direct - Growth,-0.0121,-0.0155
119551,SBI Bluechip Fund - Regular Plan - Growth,-0.0118,-0.0152
120841,Kotak Bluechip Fund - Regular - Growth,-0.0117,-0.0152
118635,Nippon India ETF Nifty 50 BeES,-0.011,-0.0149
102885,UTI Nifty 50 Index Fund - Regular - Growth,-0.011,-0.0144
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.0034,-0.0046
100025,HDFC Short Term Debt Fund - Regular - Growth,-0.0033,-0.0046
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.0033,-0.0045
120844,Kotak Liquid Fund - Regular - Growth,-0.0002,-0.0004
101208,ABSL Liquid Fund - Regular - Growth,-0.0002,-0.0004
120507,ICICI Pru Liquid Fund - Regular - Growth,-0.0002,-0.0003
